Table with row headers in columns A and B and column headers in rows 4 through 6,,,,,,,,,,,
"Table 1. Reported Voting and Registration, by Sex and Single Years of Age: November 2024",,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,
Characteristics,,Total population,United States citizen,,,,,,,Total population,
,,,Total citizen population,Reported registered,Reported not registered,No response to registration1,Reported voted,Reported not voted,No response to voting2,Reported registered,Reported voted
,,,,Number,Number,Number,Number,Number,Number,Percent,Percent
FEMALE,55 years,"2,016","1,847","1,478",107,263,"1,332",245,270,73.3,66.1
FEMALE,56 years,"1,933","1,777","1,401",163,213,"1,310",254,213,72.5,67.8
FEMALE,57 years,"1,935","1,750","1,332",157,261,"1,201",258,290,68.8,62.1
FEMALE,58 years,"2,041","1,851","1,454",164,233,"1,367",280,203,71.2,67.0
FEMALE,59 years,"2,251","2,132","1,658",183,291,"1,506",331,296,73.6,66.9
FEMALE,60 years,"2,107","1,946","1,491",165,289,"1,361",315,269,70.8,64.6
FEMALE,61 years,"2,310","2,154","1,673",137,345,"1,527",302,324,72.4,66.1
FEMALE,62 years,"2,123","1,947","1,560",148,239,"1,446",245,255,73.5,68.1
FEMALE,63 years,"2,054","1,905","1,533",150,222,"1,381",289,234,74.6,67.2
FEMALE,64 years,"2,247","2,160","1,676",193,291,"1,566",318,276,74.6,69.7
FEMALE,65 years,"1,940","1,843","1,472",100,270,"1,388",187,267,75.9,71.6
FEMALE,66 years,"1,987","1,900","1,585",111,204,"1,496",205,199,79.8,75.3
FEMALE,67 years,"2,048","1,946","1,553",155,238,"1,444",255,246,75.8,70.5
FEMALE,68 years,"2,002","1,921","1,530",124,266,"1,432",224,265,76.4,71.5
FEMALE,69 years,"2,023","1,931","1,506",202,224,"1,409",301,221,74.4,69.7
FEMALE,70 years,"1,853","1,777","1,438",148,191,"1,334",250,192,77.6,72.0
FEMALE,71 years,"1,964","1,909","1,512",128,269,"1,427",235,246,77.0,72.7
FEMALE,72 years,"1,687","1,622","1,322",107,192,"1,261",171,189,78.4,74.8
FEMALE,73 years,"1,572","1,522","1,275",72,174,"1,193",162,167,81.1,75.9
FEMALE,74 years,"1,610","1,560","1,309",89,162,"1,195",203,162,81.3,74.2
FEMALE,75 years,"1,532","1,465","1,171",112,182,"1,088",208,169,76.4,71.0
FEMALE,76 years,"1,434","1,372","1,123",79,171,"1,062",143,167,78.3,74.1
FEMALE,77 years,"1,463","1,413","1,177",78,157,"1,109",150,154,80.5,75.8
FEMALE,78 years,"1,188","1,139",946,61,132,843,177,119,79.7,71.0
FEMALE,79 years,906,877,694,69,114,617,164,96,76.6,68.1
FEMALE,80-84 years,"3,975","3,817","3,034",274,510,"2,765",578,475,76.3,69.6
FEMALE,85 years and over,"3,674","3,503","2,599",343,561,"2,318",668,517,70.7,63.1
,,,,,,,,,,,
"1 'No response to registration' includes those who were not asked if they were registered as well as those who responded 'Don't Know,' and 'Refused.'",,,,,,,,,,,
"2 'No response to voting' includes those who were not asked if they voted as well as those who responded  'Don't Know,' and 'Refused.'",,,,,,,,,,,
NOTES:,,,,,,,,,,,
Estimates may not sum to totals due to rounding.,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www.census.gov/programs-surveys/cps/technical-documentation/complete.24.html>",,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey Public-Use Data, November 2024",,,,,,,,,,,
