,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,"United States (excludes
Washington, DC)",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire","New
Jersey","New
Mexico",New York,"North
Carolina","North
Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode
Island","South
Carolina","South
Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming
     Hunting and fishing,T23,"1,991,249","25,415","41,962","44,470","34,348","124,364","124,018","5,096","4,103",91,"17,975","29,011",936,"58,659","43,615","26,759","36,445","32,667","30,267","32,599","22,388","19,613","7,694","64,351","114,177","2,186","43,206","84,142","16,712","13,498","12,020","14,254","29,976","57,275","41,553","19,140","46,039","30,866","55,361","91,668","2,460","25,703","38,064","51,532","112,788","34,148","7,583","27,924","44,745","13,663","96,751","37,060"
     Motor vehicles,T24,"34,597,810","229,889","30,843","310,974","193,333","8,510,951","457,934","260,288","63,318","36,778","1,583,195","409,070","236,327","237,012","2,330,860","643,283","787,683","251,353","221,326","82,732","125,959","499,315","464,574","1,530,111","1,018,705","211,991","317,284","210,674","130,438","234,528","116,971","684,548","185,465","1,420,422","1,019,010","122,010","527,283","866,604","649,810","1,479,440","13,002","321,505","100,827","404,537","2,368,054","314,747","80,948","509,206","1,003,488","5,295","722,176","98,512"
     Motor vehicle operators,T25,"3,162,627","47,865",X,"35,890","19,232","399,891","44,096","56,366","6,324","4,952","181,903","34,845",296,"11,914","181,175","292,969","17,221","32,070","32,689","12,819","12,326","40,894","113,149","65,439","66,362","5,107","16,184","9,377","11,599","27,168","14,924","59,626","13,834","179,004","139,135","5,138","84,995","16,082","31,102","93,898","9,488","20,714","5,237","46,821","192,341","31,861","15,342","44,446","136,100","203,988","39,792","3,589"
     Public utilities,T27,"1,366,236","14,694","8,101",39,"9,438","605,280","20,264",593,718,X,"40,197",X,"21,135","74,811","47,369",X,"13,147","4,228",0,"15,067",X,X,X,"37,915","9,136","8,295","23,944",13,X,X,"19,846","10,645","1,636","45,953","23,636",4,"1,462",5,"80,591","86,188",559,"14,409",X,"6,485","20,996",X,X,782,"37,857",512,"60,286",X
     Occupation and businesses,T28,"17,566,956","71,069","11,994","193,476","128,020","5,132,709","68,605","29,810","152,117","90,623","212,684","85,281","56,784","109,728","853,239","142,153","109,376","90,937","149,144","126,107","133,981","335,752","470,134","281,400","288,594","89,365","231,534","198,208","33,563","305,140","262,382","820,526","51,255","149,491","421,742","101,042","986,762",800,"380,527","1,318,771","86,259","142,897","157,257","541,348","676,563","61,449","37,775","424,152","438,436","13,236","359,539","43,843"
     Other license taxes,T29,"2,051,229",1,"10,090","2,466","1,676","18,395",0,"4,630","10,489","49,574","13,889",452,"12,487","5,176","41,433","57,362","2,753","2,890","6,278","5,906","18,065","1,770","314,075","237,939","95,239","68,048","100,879","16,039","1,208","9,396","44,624","1,986","108,920","1,772","52,150",0,"140,591","1,017","9,542","21,245","43,993","15,805","30,607","9,613","171,426","7,712","11,453","63,959","190,206","5,941","59,636",0
Other taxes,TA5,"53,786,326","92,998","1,037,074","21,513","178,138","8,403,496","187,105","393,853","220,445","435,241","4,089,814","203,426","153,205","10,587","736,051","1,842","88,287","35,044","199,787","828,612","77,708","694,329","920,475","426,342","587,340","49,152","20,859","255,831","26,233","1,016,194","183,729","1,271,642","4,987,859","5,783,749","113,468","3,095,262","60,583","1,218,966","501,625","2,345,053","68,078","188,929","11,995","392,513","8,596,027","99,118","134,103","536,380","1,869,339","455,604","115,122","801,442"
     Death and gift,T50,"6,890,085",X,X,0,X,891,0,"112,981",0,"44,965",X,0,"55,794",X,"654,175",0,"59,664",X,"75,635",0,"29,052","213,400","574,198",6,"283,832",0,0,X,0,X,0,"537,015","35,511","1,855,654",0,X,3,0,"340,041","1,580,764","51,583",X,0,7,X,X,"23,878",0,"405,993",0,8,0
     Documentary and stock transfer,T51,"11,870,866","54,661",X,X,"64,442",X,X,"280,712","218,744","330,114","4,067,861",0,"97,411",X,"81,876",X,"28,623",X,"9,103",X,"48,656","200,784","346,277","398,666","226,949",X,"16,342",X,"22,550","117,429","183,729","734,627",X,"1,318,999","111,421",X,0,"25,664","2,493","697,497","16,495","188,929",203,"356,411",X,X,"100,385","530,514","1,215,428","12,288","94,697",X
     Severance,T53,"21,929,161","38,337","1,037,074","21,513","36,372","133,222","187,105",0,X,X,"21,953",X,X,"6,009",0,"1,842",X,"35,044","115,049","828,612",X,X,X,"27,630","76,558","49,152",0,"241,180","3,683","109,778",X,X,"4,710,204",X,"2,047","3,095,262","60,580","1,100,599","20,354",X,X,X,"10,933",529,"8,596,027","97,887",X,"5,866","40,961","422,363","1,084","794,352"
"     Other taxes, NEC",T99,"13,096,214",0,X,X,"77,324","8,269,383",X,160,"1,701","60,162",0,"203,426",0,"4,578",X,X,0,X,0,X,0,"280,145",0,40,1,0,"4,517","14,651",0,"788,987",0,X,"242,144","2,609,096",0,0,0,"92,703","138,737","66,792",0,0,859,"35,566",X,"1,231","9,840",0,"206,957","20,953","19,333","7,090"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X - Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
